X,Y
1,12.12
2,12.94
3,9.46
4,11.54
5,10.84
6,13.30
7,10.30
8,10.61
9,12.49
10,11.08
11,7.83
12,8.71
13,8.66
14,7.39
15,8.04
16,6.61
17,6.20
18,6.35
19,5.67
20,5.13
21,5.16
22,3.93
23,1.94
24,3.07
25,6.11
26,2.86
27,2.97
28,3.13
29,3.11
30,3.13
31,4.70
32,2.68
33,3.28
34,6.68
35,5.34
36,3.11
37,6.12
38,7.00
39,5.81
40,8.54
41,9.14
42,7.34
43,12.14
44,11.82
45,12.52
46,7.97
47,12.24
48,9.86
49,13.29
50,12.07
51,12.01
52,12.62
53,13.22
54,12.90
55,9.76
56,11.30
57,9.37
58,13.34
59,10.45
60,8.92
61,7.38
62,8.76
63,7.30
64,5.49
65,6.27
66,5.83
67,3.57
68,5.68
69,1.78
70,3.40
71,6.24
72,1.87
73,3.37
74,3.79
75,2.77
76,1.10
77,1.86
78,1.91
79,3.05
80,1.09
81,1.58
82,1.93
83,6.71
84,5.59
85,6.45
86,5.17
87,5.39
88,7.74
89,8.70
90,6.27
91,10.10
92,8.72
93,9.46
94,9.53
95,8.86
96,10.17
97,9.62
98,10.70
99,10.00
100,11.76
